County Name,total_voters,registered_voters,hillary_clinton,richard_duncan,gary_johnson,jill_stein,donald_j_trump,no_pres,swing,swing_cat,area,voter_density,system
Adams,11583,16945,2326,62,226,47,8659,263,0.5467495467495468,red,583.87,29.021871306969018,Premier AccuVote-TSX
Allen,46735,68054,13294,225,1486,323,30487,920,0.3678827431261367,red,402.5,169.0782608695652,ES&S Model 100
Ashland,25104,35452,5740,183,906,185,17493,597,0.468172402804334,red,422.95,83.82078259841589,Premier AccuVote-TSX
Ashtabula,41797,60624,15577,271,1213,427,23318,991,0.18520467976170538,red,701.93,86.36758651147551,ES&S Model 100
Athens,30042,45418,16370,130,1012,539,11354,637,-0.16696624725384462,blue,503.6,90.18665607625098,ES&S Model 100
Auglaize,24019,31666,3980,132,701,112,18658,436,0.6110995461925975,red,401.39,78.89085428137223,** Multiple ES&S Optical Scanners **
Belmont,31848,46971,8785,214,777,195,21108,769,0.38693167545842755,red,532.13,88.26978369947193,Dominion
Brown,19889,28405,4353,95,431,103,14573,334,0.5138518779224697,red,490.02,57.967021754214116,ES&S Model 100
Butler,176301,247972,58642,566,5790,1173,106976,3154,0.2741561307082773,red,467.06,530.9210808033229,Premier AccuVote-TSX
Carroll,13368,18002,3154,86,450,91,9254,333,0.45631358467983246,red,394.61,45.619725805225414,ES&S DS200
Champaign,18548,25696,4594,104,582,147,12631,490,0.43330817338796634,red,428.67,59.943546317680266,ES&S Model 100
Clark,62756,89006,23328,326,1895,511,35205,1491,0.18925680413028237,red,397.47,223.9313658892495,ES&S Model 100
Clermont,100859,136454,26715,321,3504,728,67518,2073,0.4045548736354713,red,452.1,301.822605618226,ES&S DS200
Clinton,18966,26351,4066,80,514,127,13838,341,0.5152377939470631,red,408.68,64.47832044631497,ES&S Model 100
Columbiana,47025,65637,12432,228,1401,320,31676,968,0.4092291334396598,red,531.89,123.40333527609093,ES&S Model 100
Coshocton,15865,22905,4013,115,468,118,10785,366,0.4268515600378191,red,563.91,40.6181837527265,Premier AccuVote-TSX
Crawford,19534,28096,4625,121,714,119,13611,344,0.46001842940513976,red,401.79,69.927076333408,Premier AccuVote-TSX
Cuyahoga,617350,890626,398271,1878,12993,5242,184211,14755,-0.3467400988094274,blue,457.19,1948.043483015814,ES&S DS200
Darke,25821,34063,4470,123,649,149,20012,418,0.6019131714495953,red,598.1,56.95201471325865,Premier AccuVote-TSX
Defiance,18603,25629,5368,128,782,153,11688,484,0.33973015105090576,red,411.46,62.28795022602441,Premier AccuVote-TSX
Delaware,106996,133074,40872,333,4116,668,57568,3439,0.1560432165688437,red,443.1,300.32498307379825,ES&S iVotronic
Erie,38478,53103,16057,229,1225,342,19648,977,0.09332605644784032,purple,251.56,211.09476864366354,ES&S Model 100
